state,spectrum_usage,user_density,financial_importance,military_importance,election_importance,disaster_risk,news_priority,priority_weight
Andhra Pradesh,0.65,0.70,0.72,0.60,0.60,0.55,0.50,0.64
Arunachal Pradesh,0.40,0.30,0.35,1.00,0.40,0.60,0.45,0.58
Assam,0.60,0.55,0.50,0.70,0.55,0.85,0.60,0.63
Bihar,0.68,0.75,0.45,0.40,0.70,0.50,0.55,0.60
Chhattisgarh,0.55,0.50,0.48,0.45,0.55,0.60,0.45,0.54
Goa,0.50,0.45,0.65,0.60,0.45,0.55,0.40,0.55
Gujarat,0.72,0.70,0.80,0.55,0.65,0.45,0.55,0.68
Haryana,0.65,0.68,0.75,0.50,0.60,0.40,0.50,0.64
Himachal Pradesh,0.45,0.40,0.50,0.60,0.45,0.45,0.40,0.50
Jharkhand,0.55,0.55,0.48,0.45,0.55,0.55,0.45,0.54
Karnataka,0.75,0.72,0.85,0.55,0.65,0.50,0.60,0.72
Kerala,0.65,0.70,0.70,0.60,0.55,0.75,0.55,0.67
Madhya Pradesh,0.60,0.55,0.55,0.50,0.55,0.45,0.45,0.56
Maharashtra,0.80,0.78,0.95,0.55,0.70,0.50,0.70,0.78
Manipur,0.40,0.35,0.40,0.85,0.45,0.55,0.45,0.58
Meghalaya,0.38,0.32,0.42,0.75,0.40,0.60,0.45,0.56
Mizoram,0.35,0.30,0.40,0.75,0.40,0.55,0.40,0.54
Nagaland,0.38,0.32,0.42,0.75,0.40,0.55,0.40,0.55
Odisha,0.70,0.65,0.60,0.50,0.60,0.85,0.55,0.67
Punjab,0.65,0.60,0.70,0.55,0.60,0.40,0.50,0.62
Rajasthan,0.68,0.55,0.60,0.80,0.60,0.35,0.50,0.65
Sikkim,0.35,0.25,0.40,0.70,0.40,0.45,0.35,0.50
Tamil Nadu,0.78,0.75,0.88,0.60,0.70,0.55,0.65,0.75
Telangana,0.72,0.70,0.80,0.55,0.65,0.45,0.60,0.69
Tripura,0.40,0.35,0.45,0.65,0.45,0.55,0.45,0.56
Uttar Pradesh,0.82,0.80,0.70,0.50,0.75,0.50,0.65,0.74
Uttarakhand,0.45,0.40,0.50,0.60,0.45,0.55,0.45,0.54
West Bengal,0.75,0.72,0.72,0.50,0.65,0.60,0.60,0.71
Jammu & Kashmir,0.55,0.45,0.50,1.00,0.55,0.60,0.55,0.69
Ladakh,0.30,0.20,0.40,1.00,0.40,0.40,0.35,0.56
Delhi (NCT),0.85,0.90,0.95,0.60,0.80,0.40,0.75,0.82
Chandigarh,0.55,0.60,0.65,0.50,0.55,0.40,0.45,0.56
Puducherry,0.50,0.55,0.60,0.50,0.50,0.45,0.45,0.53
Andaman & Nicobar Islands,0.35,0.25,0.40,0.70,0.40,0.80,0.40,0.55
Dadra & Nagar Haveli and Daman & Diu,0.45,0.40,0.55,0.50,0.45,0.45,0.40,0.51
Lakshadweep,0.30,0.20,0.35,0.60,0.35,0.70,0.35,0.49
